연번,시설명,주소
1,사비오그룹홈,서울시 광진구 자양로44길 149 
2,꽃가람그룹홈,서울시 광진구 자양로44길 141-3 202호
3,또하나의집 그룹홈,서울시 동대문구 약령시로5길 22-10 
4,초롱꽃네,서울시 중랑구 망우로66길 32-5 101호
5,같이,서울시 중랑구 용마산로271 103동 604호
6,무지개그룹홈(구.다윤이네집),서울시 성북구 장월로1마길 1-8 
7,새터민청소년그룹홈 <가족>,서울시 성북구 북악산로1다길 3 1층
8,슬기의집 그룹홈,서울시 성북구 성북로8다길 17 403호
9,우애의집,서울시 성북구 장위로 31 103호
10,은총의 집,서울시 성북구 솔샘로5길 34 401호
11,새터민청소년그룹홈 <한식구>,서울시 성북구 북악산로1다길 3 2층
12,안젤라의집,서울시 성북구 장위로32길 11  
13,베타니아,서울시 성북구 동소문로15길99 122동1002호
14,은혜의 집,서울시 성북구 북악산로 913 10-103
15,둥근나라,서울시 강북구 덕릉로30길 19 3층
16,예닮의집,서울시 강북구 화계사길 5-15 
17,도밍고의 집,서울시 강북구 솔매로41길 37-10 
18,베리타스,서울시 강북구 솔매로41길 37-20 
19,하늬네,서울시 노원구 한글비석로 49길20  301호
20,가온나래,서울시 노원구 동일로195길 39 101-1505
21,테바 그룹홈,서울시 노원구 화랑로 556 101-103
22,성모의집,서울시 은평구 가좌로12길 15  103동 101호 
23,영라이프그룹홈,서울시 은평구 연서로37가길 23-1 201호
24,한울타리,서울시 서대문구 연희로2길 46 501호
25,디딤터,서울시 서대문구 모래내로17길 65-6 202호
26,애신아동공동생활가정,서울시 서대문구 증가로12나길 87 401호
27,우리집그룹홈,서울시 서대문구 증가로6길 55  1층
28,살레시오신월5동나눔의집,서울시 양천구 월정로 306 103동 105호
29,요셉천사의집,서울시 양천구 오목로5길 20 202동 101호
30,살레시오양천나눔의집,서울시 양천구 남부순환로54길 37 4층
31,헤아림그룹홈,서울시 양천구 은행정로 15길 17 303호
32,소망그룹홈,서울시 양천구 오목로 160 101동 603호
33,새희망 공동생활가정,서울시 양천구 은행정로 19길 3 B동 201호
34,양천새희망공동생활가정,서울시 양천구 신정로300 501동 705호
35,에스더그룹홈,서울시 양천구 중앙로57길 35 101동 605호
36,마드레나자레나의집,서울시 강서구 강서로26길 51-8 
37,살레시오방화동나눔의집,서울시 강서구 방화대로45길 56-4 
38,예원,서울시 강서구 강서로45길 138 804호
39,아름다운집(구. 라온그룹홈),서울시 강서구 송정로 14-12 1층
